# CDS alignment filter
# PYTHON VERSION: 3.7.12
# Script call:    06_aln_filter.py -i /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/01-Guidance/ -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter/ --overwrite
# Runtime:        07/11/2023 13:57:13
# ----------------
# IO OPTIONS
# Input CDS directory:    /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/01-Guidance
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Min sequences required after filters:4
# Output directory:       /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter-spec4-seq20-site50
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/18spec/02-Filter-spec4-seq20-site50/aln-stats-spec4-seq20-site50.log
# ----------------
# 07.11.2023 | 13:57:13 Beginning filter.
align	pre guidance codon length	guidance codons rm	pre num seqs	pre num species	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre informative codon sites	pre informative nt sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post num species	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post informative codon sites	post informative nt sites	post stop codons	post percent sites with gap	post gappy sites
ORTHOMCL13650	488.6666666666667	110.66666666666667	5	4	378	206.2	5	0	3	2	3	27	0	257	257	189	2	1	189	144.6	5	0	3	2	3	27	0	68	68
ORTHOMCL12120	410.66666666666663	150.66666666666666	6	6	260	107.5	6	0	5	0	16	34	0	220	220	150	3	3	110	70.5	6	0	3	0	16	33	0	71	71
ORTHOMCL13114	148.66666666666666	6.666666666666667	5	5	142	92.6	5	0	4	4	27	46	0	62	62	64	4	4	78	72.0	5	0	1	3	27	45	0	1	1
ORTHOMCL2319	1477.6666666666665	614.6666666666666	19	12	863	281.3157894736842	19	0	19	0	272	444	0	683	672	589	14	9	274	241.10526315789474	19	0	5	0	262	430	0	95	85
ORTHOMCL4753	2762.666666666667	1839.6666666666667	16	15	923	368.5625	16	0	16	0	408	878	0	862	770	487	9	9	436	318.375	16	0	7	0	391	840	0	375	283
ORTHOMCL10224	244.66666666666666	132.66666666666666	7	7	112	64.57142857142857	7	0	7	1	38	76	0	53	53	54	6	6	58	55.285714285714285	7	0	1	1	37	73	0	1	1
ORTHOMCL16607	204.66666666666669	68.66666666666667	4	4	136	85.75	4	0	3	2	5	14	0	66	66	66	4	4	70	66.5	4	0	0	2	5	14	0	3	3
ORTHOMCL4254	214.66666666666666	44.666666666666664	16	14	170	147.4375	16	0	2	1	151	345	0	33	25	14	14	12	156	145.0	16	0	2	1	149	340	0	20	12
ORTHOMCL14759	652.6666666666666	20.666666666666668	5	5	632	505.6	5	0	2	12	118	304	0	123	123	62	3	3	570	491.6	5	0	2	12	118	303	0	63	63
ORTHOMCL3779	2095.666666666667	1203.6666666666667	16	15	892	431.5625	16	0	16	0	427	891	0	730	442	450	12	12	442	384.75	16	0	4	0	414	862	0	286	7
ORTHOMCL1020	1082.6666666666665	679.6666666666666	23	15	403	233.91304347826087	23	0	23	1	227	484	0	183	177	186	23	15	217	212.8695652173913	23	0	0	1	214	455	0	6	1
ORTHOMCL9515	326.66666666666663	161.66666666666666	8	6	165	51.125	6	1	8	0	24	29	0	132	132	132	8	6	33	30.75	4	2	0	0	21	25	0	4	4
ORTHOMCL16059	173.66666666666666	53.666666666666664	4	4	120	103.75	4	0	0	23	10	15	0	22	22	25	4	4	95	93.75	4	0	0	22	9	14	0	2	2
ORTHOMCL3157	1265.6666666666665	853.6666666666666	18	14	412	75.66666666666667	16	1	18	0	89	197	0	412	412	327	9	9	85	48.27777777777778	14	1	9	0	78	172	0	85	85
ORTHOMCL11954	780.6666666666666	145.66666666666666	6	5	635	293.5	6	0	5	9	99	158	0	407	407	403	6	5	232	222.33333333333334	6	0	0	9	98	157	0	9	9
ORTHOMCL13263	170.66666666666669	102.66666666666667	5	5	68	59.0	5	0	0	6	17	27	0	11	11	12	5	5	56	55.2	5	0	0	6	16	25	0	1	1
ORTHOMCL417	1763.6666666666665	588.6666666666666	30	15	1175	372.8	30	0	30	0	392	828	0	1160	811	786	22	11	389	333.0	30	0	8	0	379	803	0	375	37
ORTHOMCL18171	374.6666666666667	119.66666666666667	4	4	255	210.25	4	0	2	5	12	62	0	68	68	31	3	3	224	199.75	4	0	1	5	12	61	0	41	41
ORTHOMCL816	849.6666666666667	369.6666666666667	25	17	480	209.04	25	0	25	0	206	473	0	329	273	283	22	16	197	187.36	25	0	3	0	194	441	0	53	1
ORTHOMCL865	817.6666666666666	221.66666666666666	25	18	596	436.68	25	0	23	4	440	837	0	312	148	157	23	17	439	419.64	25	0	2	4	428	817	0	157	3
ORTHOMCL1016	835.6666666666666	590.6666666666666	24	17	245	85.25	24	0	24	0	94	170	0	245	196	149	17	14	96	75.875	24	0	7	0	90	164	0	96	48
ORTHOMCL13343	289.6666666666667	60.666666666666664	5	5	229	207.8	5	0	0	44	104	143	0	25	25	25	5	5	204	201.4	5	0	0	43	103	142	0	2	2
ORTHOMCL13033	340.6666666666667	89.66666666666667	5	4	251	198.0	5	0	2	8	25	105	0	99	99	35	3	3	216	188.2	5	0	2	8	25	103	0	67	67
ORTHOMCL6035	635.6666666666667	303.6666666666667	14	13	332	128.71428571428572	11	1	14	0	143	272	0	332	332	184	9	9	148	108.0	11	1	5	0	137	254	0	148	148
ORTHOMCL3096	695.6666666666666	212.66666666666666	18	17	483	239.83333333333334	18	0	17	0	269	538	0	469	279	210	12	12	273	223.16666666666666	18	0	6	0	264	526	0	259	73
ORTHOMCL1096	1026.6666666666667	240.66666666666666	23	16	786	547.1739130434783	23	0	22	3	586	1324	0	572	304	187	18	14	599	525.8695652173913	23	0	5	3	572	1289	0	391	129
ORTHOMCL1349	611.6666666666666	213.66666666666666	22	18	398	204.04545454545453	22	0	22	0	224	440	0	398	173	175	17	15	223	186.0909090909091	22	0	5	0	212	414	0	223	8
ORTHOMCL11340	647.6666666666666	142.66666666666666	6	6	505	336.6666666666667	6	0	5	5	104	251	0	240	240	147	4	4	358	308.1666666666667	6	0	2	5	103	247	0	98	98
ORTHOMCL11085	224.66666666666666	44.666666666666664	6	6	180	94.16666666666667	6	0	5	1	23	50	0	104	104	83	5	5	97	78.83333333333333	6	0	1	1	23	50	0	21	21
ORTHOMCL19026	276.6666666666667	20.666666666666668	4	4	256	127.25	4	0	3	2	4	17	0	153	153	154	2	2	102	88.25	4	0	2	2	4	17	0	0	0
ORTHOMCL11896	1756.6666666666665	687.6666666666666	6	6	1069	241.5	6	0	6	4	23	34	0	1011	1011	1008	5	5	61	52.666666666666664	6	0	1	3	21	30	0	10	10
ORTHOMCL6571	1134.6666666666665	823.6666666666666	13	12	311	25.76923076923077	9	1	12	0	1	2	0	311	311	310	1	1	1	0.07692307692307693	1	1	12	0	0	0	0	1	1
ORTHOMCL16733	492.66666666666663	130.66666666666666	4	4	362	177.0	4	0	3	9	11	32	0	258	258	218	2	2	144	120.5	4	0	2	9	11	32	0	41	41
ORTHOMCL18631	184.66666666666666	34.666666666666664	4	4	150	91.25	4	0	4	14	11	27	0	79	79	80	4	4	70	69.25	4	0	0	12	11	27	0	1	1
ORTHOMCL7440	1573.6666666666665	696.6666666666666	11	10	877	405.45454545454544	11	0	11	0	323	581	0	698	590	463	8	8	414	336.1818181818182	11	0	3	0	317	570	0	239	133
ORTHOMCL2498	805.6666666666667	483.6666666666667	19	15	322	109.47368421052632	19	0	19	0	107	192	0	322	234	213	15	13	109	91.42105263157895	17	1	4	0	104	186	0	109	22
ORTHOMCL14495	451.66666666666663	178.66666666666666	5	5	273	206.2	5	0	4	2	28	196	0	78	78	85	5	5	188	180.8	5	0	0	2	26	191	0	2	2
ORTHOMCL3183	610.6666666666666	24.666666666666668	18	15	586	490.6111111111111	18	0	4	0	510	830	0	344	78	62	14	12	524	481.6666666666667	18	0	4	0	504	818	0	284	21
ORTHOMCL3573	313.6666666666667	97.66666666666667	17	16	216	172.0	17	0	5	0	175	358	0	92	36	41	15	14	175	163.35294117647058	17	0	2	0	168	345	0	56	2
ORTHOMCL2264	552.6666666666666	222.66666666666666	19	17	330	61.421052631578945	19	0	19	0	48	106	0	296	281	284	17	15	46	42.0	19	0	2	0	44	92	0	14	1
ORTHOMCL1992	744.6666666666666	232.66666666666666	19	14	512	395.2631578947368	19	0	14	2	393	896	0	141	113	121	18	13	391	371.0	19	0	1	2	375	854	0	34	9
ORTHOMCL4565	468.66666666666663	207.66666666666666	16	16	261	148.0	16	0	15	2	138	312	0	119	119	120	15	15	141	135.8125	16	0	1	2	135	306	0	3	3
ORTHOMCL16580	151.66666666666666	33.666666666666664	4	4	118	73.75	4	0	3	4	19	22	0	58	58	58	4	4	60	58.25	4	0	0	4	18	21	0	1	1
ORTHOMCL5257	770.6666666666667	504.6666666666667	15	11	266	104.26666666666667	15	0	14	0	117	272	0	266	266	184	11	11	82	55.93333333333333	12	1	4	0	70	144	0	82	82
ORTHOMCL3949	323.6666666666667	45.666666666666664	17	17	278	170.41176470588235	17	0	16	2	157	363	0	119	115	116	16	16	162	158.35294117647058	17	0	1	1	154	355	0	5	2
ORTHOMCL2779	373.6666666666667	119.66666666666667	18	16	254	207.22222222222223	18	0	2	0	229	420	0	217	31	28	16	15	226	201.27777777777777	18	0	2	0	224	410	0	189	8
ORTHOMCL6239	784.6666666666666	216.66666666666666	13	13	568	403.0	13	0	10	0	400	879	0	326	210	124	11	11	444	384.0769230769231	13	0	2	0	389	858	0	206	96
ORTHOMCL9563	1520.6666666666667	447.6666666666667	8	4	1073	187.125	8	0	8	3	34	48	0	1015	1015	1008	7	4	65	59.625	8	0	1	3	32	44	0	8	8
ORTHOMCL7025	549.6666666666666	201.66666666666666	12	12	348	287.25	12	0	3	0	277	631	0	80	49	53	11	11	295	275.25	12	0	1	0	268	613	0	33	3
ORTHOMCL13641	419.6666666666667	365.6666666666667	5	5	54	29.2	3	1	2	0	0	0	0	54	54	10	3	3	44	26.4	3	1	2	0	0	0	0	44	44
ORTHOMCL3416	629.6666666666667	341.6666666666667	17	10	288	193.94117647058823	17	0	8	0	234	370	0	259	167	37	10	5	251	185.7058823529412	17	0	7	0	227	358	0	222	136
ORTHOMCL11682	1680.6666666666665	795.6666666666666	6	5	885	321.6666666666667	6	0	6	1	39	98	0	808	808	544	3	3	341	222.33333333333334	6	0	3	1	38	97	0	267	267
ORTHOMCL19017	227.66666666666666	43.666666666666664	4	4	184	102.25	4	0	4	3	10	27	0	110	110	107	4	4	77	74.5	4	0	0	3	10	26	0	4	4
ORTHOMCL7117	321.6666666666667	14.666666666666666	12	12	307	287.6666666666667	12	0	1	4	262	400	0	38	11	13	11	11	294	284.25	12	0	1	4	260	396	0	26	1
ORTHOMCL8745	1162.6666666666665	690.6666666666666	9	9	472	150.77777777777777	9	0	9	1	76	207	0	363	363	366	9	9	106	102.77777777777777	9	0	0	1	72	199	0	2	2
ORTHOMCL6753	740.6666666666667	427.6666666666667	12	10	313	146.91666666666666	9	1	7	0	140	270	0	313	313	65	6	6	248	135.25	9	1	6	0	136	260	0	248	248
ORTHOMCL11515	1067.6666666666665	798.6666666666666	6	6	269	94.83333333333333	6	0	6	0	8	32	0	223	223	204	4	4	65	49.666666666666664	6	0	2	0	7	30	0	22	22
ORTHOMCL7019	1235.6666666666665	807.6666666666666	12	11	428	140.25	10	1	12	0	121	263	0	428	415	272	8	8	156	110.91666666666667	10	1	4	0	115	250	0	156	143
ORTHOMCL5579	560.6666666666666	227.66666666666666	14	12	333	147.78571428571428	14	0	13	3	137	243	0	212	204	187	13	11	146	132.92857142857142	14	0	1	3	135	241	0	26	18
ORTHOMCL18161	542.6666666666666	153.66666666666666	4	4	389	127.25	4	0	3	4	3	12	0	347	347	349	4	4	40	37.5	4	0	0	4	3	12	0	2	2
ORTHOMCL8589	563.6666666666666	230.66666666666666	9	9	333	209.0	9	0	8	2	161	254	0	167	167	135	7	7	198	179.11111111111111	9	0	2	2	158	246	0	33	33
ORTHOMCL492	2448.666666666667	1263.6666666666667	28	16	1185	252.21428571428572	26	1	28	0	326	681	0	1185	1185	885	17	11	300	201.42857142857142	25	1	11	0	292	618	0	300	300
ORTHOMCL6544	751.6666666666666	544.6666666666666	13	5	207	110.61538461538461	13	0	13	1	94	248	0	103	100	107	12	4	100	93.6923076923077	13	0	1	1	85	222	0	3	2
ORTHOMCL357	1219.6666666666665	616.6666666666666	32	18	603	237.125	32	0	32	0	268	472	0	603	379	334	22	14	269	217.3125	32	0	10	0	256	452	0	269	55
ORTHOMCL2803	532.6666666666666	176.66666666666666	18	16	356	164.33333333333334	18	0	17	0	174	332	0	356	201	174	13	12	182	150.66666666666666	18	0	5	0	170	324	0	182	31
ORTHOMCL13934	1186.6666666666665	912.6666666666666	5	4	274	54.8	3	1	4	0	0	0	0	274	274	273	1	1	1	0.2	1	1	4	0	0	0	0	1	1
ORTHOMCL7589	342.6666666666667	114.66666666666667	11	10	228	118.45454545454545	11	0	10	0	93	247	0	201	104	99	7	7	129	106.54545454545455	11	0	4	0	92	243	0	102	9
ORTHOMCL184	4543.666666666667	1291.6666666666667	39	16	3252	504.38461538461536	39	0	38	0	552	1302	0	3252	3105	2737	25	12	515	394.5128205128205	39	0	14	0	500	1187	0	515	378
ORTHOMCL12766	518.6666666666666	153.66666666666666	5	4	365	279.4	5	0	2	6	56	223	0	128	128	71	4	4	294	255.2	5	0	1	6	55	219	0	63	63
ORTHOMCL13289	385.6666666666667	75.66666666666667	5	5	310	272.0	5	0	1	20	71	129	0	33	33	19	4	4	291	266.6	5	0	1	20	71	127	0	16	16
ORTHOMCL1811	1599.6666666666665	997.6666666666666	19	15	602	198.10526315789474	19	0	19	0	249	475	0	602	601	354	11	10	248	170.42105263157896	19	0	8	0	237	450	0	248	247
ORTHOMCL7116	239.66666666666666	54.666666666666664	12	12	185	110.08333333333333	12	0	11	1	96	157	0	82	82	81	12	12	104	100.33333333333333	12	0	0	1	93	153	0	4	4
ORTHOMCL17868	223.66666666666669	84.66666666666667	4	4	139	110.5	4	0	2	4	5	33	0	38	38	39	4	4	100	98.75	4	0	0	3	4	31	0	2	2
ORTHOMCL10546	982.6666666666666	740.6666666666666	7	7	242	91.0	7	0	7	0	18	44	0	206	206	189	5	5	53	44.57142857142857	7	0	2	0	14	38	0	21	21
ORTHOMCL9580	346.6666666666667	72.66666666666667	8	7	274	206.5	8	0	4	1	157	312	0	85	85	54	6	6	220	193.875	8	0	2	1	154	305	0	36	36
