# CDS alignment filter
# PYTHON VERSION: 3.10.0
# Script call:    aln_filter.py -i /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/01-Guidance/ -o /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter/ --overwrite
# Runtime:        01/06/2022 12:43:00
# ----------------
# IO OPTIONS
# Input CDS directory:    /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/01-Guidance
# Sequence gappiness threshold:20
# Codon site gappiness threshold:50
# Min sequences required after filters:4
# Output directory:       /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter-spec4-seq20-site50
# --overwrite set:        Overwriting previous files in output directory.
# Log file:               /n/holylfs05/LABS/informatics/Users/gthomas/spiders/aln/02-Filter-spec4-seq20-site50/aln-stats-spec4-seq20-site50.log
# ----------------
# 01.06.2022 | 12:43:00 Beginning filter.
align	pre guidance codon length	guidance codons rm	pre num seqs	pre num species	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre informative codon sites	pre informative nt sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post num species	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post informative codon sites	post informative nt sites	post stop codons	post percent sites with gap	post gappy sites
ORTHOMCL10689	1204.6666666666665	824.6666666666666	6	6	380	207.0	6	0	6	3	37	102	0	341	341	130	4	4	250	173.16666666666666	6	0	2	3	35	97	0	212	212
ORTHOMCL803	930.6666666666667	273.6666666666667	22	22	657	416.45454545454544	20	1	22	0	435	1003	0	481	219	221	19	11	436	397.54545454545456	20	1	3	0	426	986	0	263	7
ORTHOMCL12348	1190.6666666666665	575.6666666666666	5	5	615	330.0	5	0	4	1	43	191	0	322	322	329	4	4	286	235.2	5	0	1	0	42	185	0	6	6
ORTHOMCL3667	654.6666666666666	249.66666666666666	15	15	405	320.73333333333335	15	0	3	0	343	734	0	271	87	51	13	13	354	303.2	15	0	2	0	328	702	0	230	50
ORTHOMCL13935	1375.6666666666665	772.6666666666666	4	4	603	293.75	4	0	4	3	3	7	0	419	419	251	2	2	352	225.0	4	0	2	3	3	7	0	173	173
ORTHOMCL3161	496.6666666666667	351.6666666666667	16	16	145	57.125	16	0	15	0	61	124	0	145	94	85	11	10	60	47.375	16	0	5	0	55	110	0	60	14
ORTHOMCL16660	375.6666666666667	34.666666666666664	4	4	341	281.5	4	0	1	79	36	58	0	80	80	63	4	4	278	264.25	4	0	0	78	36	58	0	19	19
ORTHOMCL2378	431.66666666666663	215.66666666666666	17	17	216	97.47058823529412	17	0	17	0	110	210	0	216	162	107	11	11	109	84.6470588235294	17	0	6	0	101	191	0	109	56
ORTHOMCL9567	1990.6666666666665	535.6666666666666	7	7	1455	861.0	7	0	3	0	169	910	0	1222	1222	230	4	3	1225	792.0	7	0	3	0	164	892	0	997	997
ORTHOMCL5574	174.66666666666666	43.666666666666664	13	13	131	98.38461538461539	11	1	11	0	94	228	0	28	27	27	12	11	104	95.46153846153847	11	1	1	0	93	225	0	2	1
ORTHOMCL15722	670.6666666666667	290.6666666666667	4	4	380	268.5	4	0	3	3	9	71	0	120	120	133	3	3	247	225.25	4	0	1	2	9	70	0	3	3
ORTHOMCL10349	517.6666666666667	303.6666666666667	6	6	214	123.66666666666667	6	0	5	0	39	98	0	149	149	87	4	4	127	104.33333333333333	6	0	2	0	38	95	0	64	64
ORTHOMCL4751	771.6666666666666	582.6666666666666	14	14	189	61.92857142857143	14	0	14	0	59	134	0	189	189	123	10	10	66	48.357142857142854	12	1	4	0	56	122	0	66	66
ORTHOMCL1373	294.6666666666667	35.666666666666664	19	19	259	185.47368421052633	19	0	18	0	188	289	0	139	64	75	17	14	184	170.68421052631578	19	0	2	0	176	272	0	74	1
ORTHOMCL5790	571.6666666666667	260.6666666666667	12	12	311	224.5	12	0	10	0	207	471	0	133	92	81	11	10	230	209.25	12	0	1	0	199	453	0	58	18
ORTHOMCL9234	3395.6666666666665	2184.6666666666665	7	7	1211	559.8571428571429	7	0	7	0	187	402	0	1073	1073	707	4	3	504	363.42857142857144	7	0	3	0	175	377	0	369	369
ORTHOMCL6179	1264.6666666666665	667.6666666666666	12	12	597	251.5	12	0	12	3	230	466	0	474	437	351	7	7	246	203.16666666666666	12	0	5	3	209	426	0	130	101
ORTHOMCL6470	413.66666666666663	216.66666666666666	11	11	197	170.0	11	0	0	0	149	346	0	35	31	35	11	11	162	160.36363636363637	11	0	0	0	145	334	0	4	1
ORTHOMCL1959	175.66666666666666	5.666666666666667	18	18	170	117.88888888888889	18	0	17	0	117	242	0	52	52	53	16	14	117	113.16666666666667	18	0	2	0	115	239	0	1	1
ORTHOMCL5648	1446.6666666666665	693.6666666666666	12	12	753	435.0	12	0	12	2	399	926	0	539	447	278	8	8	475	392.6666666666667	12	0	4	2	383	882	0	269	179
ORTHOMCL5698	562.6666666666667	306.6666666666667	13	13	256	167.53846153846155	13	0	12	0	179	348	0	206	120	66	9	9	190	155.84615384615384	13	0	4	0	171	330	0	143	57
ORTHOMCL2325	310.6666666666667	35.666666666666664	17	17	275	228.7058823529412	15	1	4	0	244	482	0	106	41	28	14	11	247	225.7058823529412	15	1	3	0	242	477	0	78	13
ORTHOMCL10370	359.66666666666663	167.66666666666666	6	6	192	71.16666666666667	6	0	6	1	24	37	0	152	152	153	6	6	39	38.166666666666664	6	0	0	0	23	36	0	1	1
ORTHOMCL6842	1553.6666666666665	812.6666666666666	11	11	741	194.63636363636363	11	0	10	0	149	260	0	665	606	586	9	9	155	130.36363636363637	11	0	2	0	137	242	0	82	28
ORTHOMCL3252	548.6666666666666	186.66666666666666	16	16	362	215.25	14	1	14	0	257	495	0	362	259	88	10	10	274	204.8125	14	1	6	0	251	479	0	274	172
ORTHOMCL4084	320.6666666666667	91.66666666666667	15	15	229	118.8	15	0	14	1	104	273	0	122	120	123	15	12	106	103.46666666666667	15	0	0	1	96	253	0	6	4
ORTHOMCL10180	773.6666666666667	318.6666666666667	6	6	455	232.33333333333334	6	0	5	3	62	207	0	318	318	233	3	3	222	183.83333333333334	6	0	3	3	61	205	0	87	87
ORTHOMCL235	848.6666666666667	402.6666666666667	30	30	446	306.26666666666665	30	0	27	0	340	606	0	446	128	106	24	14	340	295.46666666666664	30	0	6	0	332	592	0	340	29
ORTHOMCL5996	644.6666666666667	276.6666666666667	12	12	368	261.8333333333333	12	0	8	0	250	585	0	177	86	88	11	10	280	246.66666666666666	12	0	1	0	241	562	0	90	6
ORTHOMCL12935	1876.6666666666665	729.6666666666666	5	5	1147	587.0	5	0	3	0	33	65	0	956	956	582	3	3	565	374.6	5	0	2	0	33	65	0	378	378
ORTHOMCL14305	1065.6666666666665	527.6666666666666	4	4	538	213.25	4	0	3	7	13	25	0	423	423	424	3	3	114	102.5	4	0	1	7	12	23	0	5	5
ORTHOMCL7874	753.6666666666666	148.66666666666666	9	9	605	154.77777777777777	7	1	9	1	85	142	0	513	513	510	9	8	95	92.77777777777777	7	1	0	1	83	140	0	5	5
ORTHOMCL2481	162.66666666666666	21.666666666666668	17	17	141	105.17647058823529	17	0	16	0	104	157	0	60	33	36	16	14	105	100.47058823529412	17	0	1	0	102	154	0	26	0
ORTHOMCL5313	733.6666666666667	416.6666666666667	13	13	317	131.0	13	0	13	0	140	283	0	317	300	155	7	7	162	110.76923076923077	13	0	6	0	128	260	0	162	146
ORTHOMCL3826	645.6666666666667	318.6666666666667	15	15	327	239.93333333333334	15	0	12	0	226	529	0	83	83	90	14	13	237	224.0	15	0	1	0	218	509	0	1	1
ORTHOMCL1707	286.6666666666667	124.66666666666667	18	18	162	69.0	15	1	18	0	73	131	0	162	106	86	14	12	76	60.55555555555556	15	1	4	0	69	127	0	76	23
ORTHOMCL3982	1227.6666666666665	673.6666666666666	15	15	554	359.4	15	0	14	4	385	706	0	420	235	162	12	9	392	330.6	15	0	3	4	365	657	0	262	85
ORTHOMCL15083	203.66666666666666	54.666666666666664	4	4	149	131.5	4	0	1	3	9	38	0	13	13	14	3	3	135	126.5	4	0	1	3	9	38	0	1	1
ORTHOMCL6281	1687.6666666666665	670.6666666666666	12	12	1017	803.0833333333334	12	0	5	6	773	1592	0	493	405	138	8	7	879	770.75	12	0	4	6	756	1542	0	357	274
ORTHOMCL6055	1001.6666666666667	401.6666666666667	12	12	600	455.6666666666667	12	0	7	6	406	841	0	205	198	171	12	10	429	411.5833333333333	12	0	0	6	386	774	0	45	38
ORTHOMCL13014	357.6666666666667	271.6666666666667	5	5	86	34.4	3	1	4	0	0	0	0	86	86	64	3	3	22	13.0	3	1	2	0	0	0	0	22	22
ORTHOMCL2088	1326.6666666666667	1066.6666666666667	17	17	260	96.94117647058823	13	1	17	0	115	280	0	260	260	127	11	11	133	83.52941176470588	13	1	6	0	108	255	0	133	133
ORTHOMCL5293	517.6666666666666	103.66666666666667	13	13	414	253.07692307692307	13	0	13	0	231	602	0	234	171	165	11	11	249	233.15384615384616	13	0	2	0	224	580	0	74	13
ORTHOMCL8502	219.66666666666666	42.666666666666664	8	8	177	126.5	8	0	7	2	85	174	0	59	59	60	8	8	117	115.5	8	0	0	2	84	169	0	2	2
ORTHOMCL10267	313.6666666666667	53.666666666666664	6	6	260	179.83333333333334	6	0	2	0	39	135	0	121	121	37	4	4	223	169.33333333333334	6	0	2	0	39	133	0	89	89
ORTHOMCL1440	1151.6666666666665	523.6666666666666	19	19	628	351.7368421052632	16	1	19	0	433	993	0	628	622	197	14	14	431	324.2631578947368	16	1	5	0	412	946	0	431	425
ORTHOMCL9917	371.6666666666667	100.66666666666667	7	7	271	179.42857142857142	7	0	4	0	55	169	0	202	202	23	4	4	248	172.28571428571428	7	0	3	0	53	166	0	184	184
ORTHOMCL2319	531.6666666666666	162.66666666666666	17	17	369	283.70588235294116	15	1	3	1	288	658	0	155	69	78	15	13	291	269.0	15	1	2	1	278	631	0	84	2
ORTHOMCL15760	1410.6666666666667	490.6666666666667	4	4	920	504.5	4	0	2	5	10	43	0	643	643	201	2	2	719	453.0	4	0	2	4	10	43	0	443	443
ORTHOMCL4753	646.6666666666666	515.6666666666666	14	14	131	29.357142857142858	14	0	14	0	20	27	0	130	108	109	12	11	22	18.214285714285715	14	0	2	0	17	23	0	21	1
ORTHOMCL7203	146.66666666666666	54.666666666666664	10	10	92	81.3	10	0	0	1	66	165	0	13	13	14	10	10	78	76.4	10	0	0	1	63	161	0	2	2
ORTHOMCL10224	442.6666666666667	92.66666666666667	6	6	350	216.0	6	0	5	5	54	139	0	276	276	76	4	4	274	201.66666666666666	6	0	2	5	54	139	0	200	200
ORTHOMCL16607	807.6666666666666	48.666666666666664	4	4	759	459.0	4	0	2	0	0	0	0	419	419	28	2	2	731	450.25	4	0	2	0	0	0	0	391	391
ORTHOMCL4254	644.6666666666667	300.6666666666667	15	15	344	51.86666666666667	15	0	15	1	29	43	0	313	313	314	15	13	30	29.066666666666666	15	0	0	1	28	41	0	1	1
ORTHOMCL3779	266.6666666666667	30.666666666666668	15	15	236	207.2	15	0	2	1	212	436	0	95	14	15	13	12	221	203.33333333333334	15	0	2	1	209	428	0	81	2
ORTHOMCL1020	1586.6666666666665	890.6666666666666	21	21	696	208.0952380952381	21	0	21	0	239	463	0	617	590	470	10	8	226	168.57142857142858	21	0	11	0	216	419	0	149	125
ORTHOMCL9515	698.6666666666667	345.6666666666667	7	7	353	137.42857142857142	7	0	7	1	50	162	0	255	255	261	7	6	92	90.28571428571429	7	0	0	1	48	147	0	1	1
ORTHOMCL16059	275.6666666666667	63.666666666666664	4	4	212	160.75	4	0	2	3	13	30	0	60	60	21	3	3	191	154.75	4	0	1	3	13	30	0	39	39
ORTHOMCL3157	774.6666666666667	272.6666666666667	16	16	502	398.125	16	0	5	1	436	960	0	456	73	45	14	11	457	385.6875	16	0	2	1	425	933	0	412	38
ORTHOMCL11954	1545.6666666666665	892.6666666666666	5	5	653	391.6	5	0	5	12	98	249	0	403	403	401	5	5	252	243.8	5	0	0	12	94	240	0	10	10
ORTHOMCL417	1586.6666666666665	839.6666666666666	27	27	747	90.48148148148148	24	1	26	0	81	137	0	747	747	669	18	12	78	58.407407407407405	22	1	9	0	72	117	0	78	78
ORTHOMCL816	1658.6666666666665	979.6666666666666	22	22	679	204.04545454545453	22	0	22	0	245	441	0	679	679	434	16	15	245	175.6818181818182	22	0	6	0	233	418	0	245	245
ORTHOMCL865	312.6666666666667	75.66666666666667	22	22	237	169.5	22	0	20	1	168	333	0	89	68	66	21	15	171	164.77272727272728	22	0	1	1	166	328	0	24	4
ORTHOMCL1016	3646.666666666667	2003.6666666666667	21	21	1643	534.8095238095239	21	0	21	0	602	1241	0	1523	1358	1072	14	9	571	457.57142857142856	21	0	7	0	555	1141	0	451	290
ORTHOMCL13343	463.66666666666663	222.66666666666666	5	5	241	153.2	5	0	5	8	19	49	0	114	114	102	4	3	139	124.6	5	0	1	8	19	48	0	18	18
ORTHOMCL13033	334.6666666666667	54.666666666666664	5	5	280	202.6	5	0	2	15	32	69	0	99	99	56	3	3	224	185.4	5	0	2	14	32	68	0	51	51
ORTHOMCL6035	314.66666666666663	195.66666666666666	12	12	119	49.916666666666664	12	0	12	2	40	50	0	75	75	78	12	8	41	39.916666666666664	12	0	0	2	36	46	0	1	1
ORTHOMCL3096	685.6666666666666	160.66666666666666	16	16	525	369.0625	16	0	15	6	355	656	0	218	149	158	14	13	367	348.6875	16	0	2	6	343	633	0	67	2
ORTHOMCL1096	1539.6666666666665	616.6666666666666	20	20	923	336.7	20	0	19	1	339	633	0	771	682	571	15	12	352	301.45	20	0	5	1	331	619	0	201	117
ORTHOMCL1349	598.6666666666667	306.6666666666667	19	19	292	169.47368421052633	19	0	19	0	203	439	0	284	236	88	12	12	204	158.57894736842104	19	0	7	0	197	426	0	196	149
ORTHOMCL11085	1560.6666666666667	199.66666666666666	6	6	1361	327.3333333333333	6	0	5	8	42	54	0	1290	1290	1218	3	2	143	106.33333333333333	6	0	3	8	42	54	0	72	72
ORTHOMCL11896	352.66666666666663	194.66666666666666	5	5	158	78.4	5	0	5	1	13	44	0	101	101	101	5	5	57	56.2	5	0	0	1	13	44	0	1	1
ORTHOMCL6571	322.66666666666663	149.66666666666666	11	11	173	114.18181818181819	11	0	10	0	96	212	0	69	68	72	11	10	101	97.0909090909091	11	0	0	0	91	197	0	4	3
ORTHOMCL7440	1230.6666666666665	883.6666666666666	10	10	347	95.4	10	0	10	0	54	94	0	324	313	274	5	5	73	54.4	10	0	5	0	48	83	0	50	41
ORTHOMCL2498	955.6666666666666	571.6666666666666	17	17	384	167.35294117647058	17	0	17	0	168	309	0	302	231	227	13	11	157	139.88235294117646	17	0	4	0	152	279	0	81	17
ORTHOMCL3183	1170.6666666666665	791.6666666666666	16	16	379	73.4375	16	0	16	0	67	149	0	379	379	308	9	9	71	46.6875	13	1	7	0	61	139	0	71	71
ORTHOMCL3573	744.6666666666667	479.6666666666667	14	14	265	113.78571428571429	14	0	14	0	116	235	0	229	191	150	9	9	115	93.28571428571429	14	0	5	0	104	210	0	81	45
ORTHOMCL2264	519.6666666666666	153.66666666666666	17	17	366	260.1764705882353	17	0	8	0	291	630	0	277	145	69	13	11	297	246.05882352941177	17	0	4	0	281	613	0	212	83
ORTHOMCL1992	841.6666666666666	520.6666666666666	18	18	321	114.77777777777777	16	1	18	0	129	319	0	321	321	183	10	10	138	96.88888888888889	14	1	8	0	119	297	0	138	138
ORTHOMCL15320	840.6666666666666	221.66666666666666	4	4	619	386.5	4	0	3	12	19	97	0	313	313	315	4	4	304	298.25	4	0	0	12	19	91	0	10	10
ORTHOMCL4565	1217.6666666666665	855.6666666666666	14	14	362	91.92857142857143	14	0	14	0	86	168	0	362	362	270	9	7	92	66.85714285714286	12	1	5	0	81	160	0	92	92
ORTHOMCL5257	1028.6666666666665	534.6666666666666	13	13	494	322.3076923076923	13	0	5	0	332	790	0	467	335	102	10	10	392	304.38461538461536	13	0	3	0	323	758	0	367	237
ORTHOMCL241	2675.666666666667	2047.6666666666667	29	29	628	126.44827586206897	27	1	29	0	159	296	0	628	628	478	18	8	150	99.79310344827586	25	1	11	0	144	270	0	150	150
ORTHOMCL3949	1783.6666666666667	1362.6666666666667	15	15	421	112.4	15	0	15	0	111	264	0	421	421	286	6	6	135	75.8	12	1	9	0	92	219	0	135	135
ORTHOMCL2779	1533.6666666666665	769.6666666666666	15	15	764	423.0	15	0	12	0	486	1039	0	763	475	238	8	8	526	384.1333333333333	15	0	7	0	465	988	0	525	245
ORTHOMCL9563	424.6666666666667	81.66666666666667	7	7	343	190.42857142857142	7	0	7	2	98	180	0	232	232	137	4	4	206	166.42857142857142	7	0	3	2	93	173	0	95	95
ORTHOMCL3416	122.66666666666667	19.666666666666668	16	16	103	95.0625	16	0	1	0	95	123	0	6	6	6	15	14	97	93.8125	16	0	1	0	95	123	0	1	1
ORTHOMCL16718	264.6666666666667	37.666666666666664	4	4	227	203.5	4	0	0	24	21	43	0	19	19	14	4	4	213	198.0	4	0	0	24	21	43	0	8	8
ORTHOMCL7117	664.6666666666667	347.6666666666667	10	10	317	198.1	10	0	10	1	156	359	0	222	112	113	8	8	204	179.8	10	0	2	1	150	344	0	113	6
ORTHOMCL6965	2181.666666666667	1756.6666666666667	11	11	425	114.54545454545455	11	0	11	0	65	202	0	357	357	328	6	6	97	78.45454545454545	11	0	5	0	62	188	0	31	31
ORTHOMCL8950	249.66666666666666	5.666666666666667	8	8	244	199.375	8	0	3	4	102	305	0	110	110	0	5	5	244	199.375	8	0	3	4	102	305	0	110	110
ORTHOMCL8745	335.6666666666667	102.66666666666667	8	8	233	192.0	8	0	2	6	113	320	0	44	44	33	6	6	200	183.375	8	0	2	6	109	313	0	16	16
ORTHOMCL6753	1104.6666666666665	940.6666666666666	11	11	164	23.818181818181817	11	0	11	0	1	12	0	164	164	159	6	3	5	2.272727272727273	3	2	5	0	0	1	0	5	5
ORTHOMCL5579	397.6666666666667	10.666666666666666	13	13	387	350.9230769230769	13	0	1	5	335	511	0	36	34	38	13	13	349	342.53846153846155	13	0	0	5	330	505	0	4	2
ORTHOMCL492	2445.666666666667	1923.6666666666667	24	24	522	98.79166666666667	15	1	24	0	172	338	0	522	522	521	1	1	1	0.041666666666666664	1	1	23	0	0	0	0	1	1
ORTHOMCL14545	262.66666666666663	157.66666666666666	4	4	105	46.25	4	0	3	0	0	0	0	65	65	65	3	3	40	29.5	4	0	1	0	0	0	0	1	1
ORTHOMCL357	363.66666666666663	185.66666666666666	27	27	178	70.18518518518519	27	0	27	1	67	114	0	155	108	109	23	14	69	64.33333333333333	27	0	4	1	65	112	0	46	1
ORTHOMCL2803	403.6666666666667	53.666666666666664	16	16	350	220.0625	16	0	15	0	229	449	0	259	117	122	13	13	228	203.125	16	0	3	0	219	430	0	140	5
ORTHOMCL13934	651.6666666666666	151.66666666666666	4	4	500	226.0	4	0	3	4	5	25	0	348	348	329	3	3	171	139.0	4	0	1	3	5	25	0	24	24
ORTHOMCL184	688.6666666666666	43.666666666666664	34	34	645	463.6764705882353	34	0	31	0	496	1118	0	545	195	156	27	5	489	445.61764705882354	34	0	7	0	481	1077	0	392	52
ORTHOMCL12766	573.6666666666667	334.6666666666667	5	5	239	185.2	5	0	3	4	30	125	0	64	64	68	5	5	171	165.4	5	0	0	4	30	123	0	3	3
ORTHOMCL1811	532.6666666666667	266.6666666666667	18	18	266	184.94444444444446	15	1	5	0	226	428	0	266	124	43	13	13	223	176.61111111111111	15	1	5	0	218	412	0	223	84
ORTHOMCL7116	433.6666666666667	294.6666666666667	10	10	139	82.5	10	0	5	0	98	191	0	139	139	10	5	5	129	79.9	10	0	5	0	95	186	0	129	129
ORTHOMCL10546	180.66666666666666	22.666666666666668	6	6	158	151.83333333333334	6	0	0	2	65	193	0	7	7	8	6	6	150	149.0	6	0	0	2	64	190	0	1	1
ORTHOMCL9580	221.66666666666666	25.666666666666668	7	7	196	132.85714285714286	7	0	6	7	96	159	0	70	70	67	6	6	129	122.57142857142857	7	0	1	7	95	158	0	4	4
ORTHOMCL10566	181.66666666666666	34.666666666666664	6	6	147	128.83333333333334	6	0	1	0	60	161	0	29	29	12	6	6	135	126.16666666666667	6	0	0	0	60	161	0	17	17
ORTHOMCL211	560.6666666666666	56.666666666666664	32	32	504	311.96875	32	0	31	0	323	510	0	480	168	175	28	14	329	295.5	32	0	4	0	312	495	0	307	5
ORTHOMCL10320	277.66666666666663	154.66666666666666	6	6	123	85.33333333333333	6	0	6	1	21	124	0	48	48	49	6	5	74	72.16666666666667	6	0	0	1	19	117	0	3	3
ORTHOMCL3024	618.6666666666667	283.6666666666667	16	16	335	81.3125	16	0	16	0	67	153	0	266	266	269	15	13	66	61.0	14	1	1	0	63	145	0	1	1
ORTHOMCL8696	116.66666666666667	22.666666666666668	8	8	94	68.375	8	0	7	0	42	95	0	29	29	29	8	8	65	63.875	8	0	0	0	41	94	0	1	1
ORTHOMCL9413	262.6666666666667	60.666666666666664	7	7	202	166.0	5	1	1	3	123	225	0	33	33	30	6	5	172	160.28571428571428	5	1	1	3	123	225	0	3	3
ORTHOMCL5572	387.6666666666667	51.666666666666664	13	13	336	245.76923076923077	13	0	6	1	256	419	0	173	118	60	11	11	276	238.6153846153846	13	0	2	1	253	414	0	114	59
ORTHOMCL8507	557.6666666666667	323.6666666666667	8	8	234	112.125	8	0	8	4	70	111	0	143	143	138	8	8	96	93.0	8	0	0	4	69	110	0	6	6
ORTHOMCL5585	620.6666666666667	266.6666666666667	13	13	354	244.15384615384616	13	0	11	0	231	571	0	188	95	99	11	11	255	227.92307692307693	13	0	2	0	222	549	0	94	5
ORTHOMCL4585	672.6666666666667	289.6666666666667	14	14	383	251.21428571428572	14	0	13	0	249	590	0	193	127	133	13	13	250	227.78571428571428	14	0	1	0	232	555	0	68	5
ORTHOMCL4604	1223.6666666666665	776.6666666666666	14	14	447	224.5	14	0	14	0	213	366	0	321	263	215	9	5	232	194.57142857142858	14	0	5	0	194	335	0	113	61
ORTHOMCL6511	739.6666666666667	475.6666666666667	11	11	264	119.72727272727273	11	0	11	0	101	180	0	214	143	151	9	9	113	95.0909090909091	11	0	2	0	89	162	0	68	2
ORTHOMCL578	1409.6666666666665	763.6666666666666	24	24	646	132.79166666666666	24	0	23	0	151	330	0	646	640	510	15	9	136	95.66666666666667	24	0	9	0	128	283	0	136	130
ORTHOMCL10384	447.6666666666667	85.66666666666667	6	6	362	209.83333333333334	6	0	5	7	51	146	0	258	258	117	4	4	245	187.16666666666666	6	0	2	7	51	145	0	141	141
ORTHOMCL5478	1511.6666666666665	795.6666666666666	12	12	716	353.8333333333333	12	0	12	2	297	593	0	398	395	403	12	11	313	310.5	12	0	0	2	289	573	0	4	2
ORTHOMCL4719	2288.666666666667	1299.6666666666667	13	13	989	199.6153846153846	13	0	13	0	143	324	0	959	932	816	8	8	173	125.3076923076923	13	0	5	0	132	299	0	144	119
ORTHOMCL7462	282.6666666666667	118.66666666666667	10	10	164	116.5	10	0	4	0	114	205	0	164	105	6	6	6	158	114.8	10	0	4	0	112	202	0	158	99
ORTHOMCL438	1537.6666666666667	1096.6666666666667	26	26	441	111.11538461538461	26	0	26	0	128	216	0	441	419	319	18	13	122	90.53846153846153	26	0	8	0	115	194	0	122	103
ORTHOMCL4978	413.6666666666667	87.66666666666667	14	14	326	176.21428571428572	14	0	14	4	162	235	0	180	169	164	14	13	162	156.71428571428572	14	0	0	3	155	226	0	21	11
ORTHOMCL5658	1026.6666666666667	214.66666666666666	12	12	812	607.0	12	0	5	10	623	935	0	592	483	88	7	5	724	587.0	12	0	5	10	616	920	0	504	395
ORTHOMCL3240	859.6666666666667	411.6666666666667	16	16	448	270.0625	14	1	12	0	320	681	0	448	350	110	11	11	338	251.75	14	1	5	0	306	647	0	338	246
ORTHOMCL5193	2025.6666666666667	1280.6666666666667	12	12	745	106.16666666666667	12	0	12	0	55	83	0	745	710	691	7	7	54	41.916666666666664	12	0	5	0	47	67	0	54	21
